-5.5817	1.2172e-26	3.3035e-07
-6.8594	5.8898e-21	3.4471e-07
-4.4723	2.4508e-22	4.7257e-07
-5.5518	3.7325e-22	1.7697e-07
-3.5483	4.1614e-21	4.4372e-07
-2.6731	1.3002e-22	4.2105e-07
-2.6632	1.4849e-24	2.7325e-07
-4.3724	4.7896e-26	2.6858e-07
-6.0575	2.1081e-21	4.3411e-07
-2.5447	5.4699e-23	4.6809e-07
-3.6928	3.4396e-23	3.3549e-07
-3.2957	4.4520e-25	1.8474e-07
-6.0121	1.1258e-23	4.9559e-07
-4.7469	1.6054e-22	4.3504e-07
-6.1762	7.2700e-25	1.6300e-07
-4.7673	1.5781e-23	2.8586e-07
-1.0774	9.5094e-25	1.7056e-07
-6.4641	6.9348e-25	4.3245e-07
-1.6764	1.5102e-23	1.5524e-07
-4.6098	1.0647e-24	4.3580e-07
-3.2911	5.1090e-22	3.7717e-07
-2.5629	1.8387e-26	4.1278e-07
-2.6567	9.1595e-22	4.5789e-07
-2.4525	2.5005e-22	1.9813e-07
-3.0825	1.6798e-25	3.5212e-07
-5.5396	1.0006e-21	4.0567e-07
